gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
mens,2017-03-15,0,1,0.4542928159,0.0663739819,0.0221636551,0.0078240922,0.0021371418,0.0007235733,1,77,Northwestern,82.6,West,8
mens,2017-03-15,0,1,0.5195622405,0.1845831167,0.0425296343,0.0101243758,0.0028310086,0.0007002933,1,135,Minnesota,81.23,South,5
mens,2017-03-15,1,1,0.1960547168,0.0617383569,0.0169753569,0.0038697237,0.0013859155,0.0005520496,1,30,Southern California,82.1,East,11
mens,2017-03-15,0,1,0.1691203694,0.0387972785,0.0068396901,0.0019766958,0.0006585184,0.0001930087,1,2440,Nevada,80.73,Midwest,12
mens,2017-03-15,0,1,0.2452918328,0.0491467915,0.0073504114,0.0019827213,0.0004085599,0.0001086525,1,163,Princeton,80,West,12
mens,2017-03-15,0,1,0.1552330885,0.0421106964,0.0059895228,0.0015803701,0.0003739826,0.0001034689,1,350,North Carolina-Wilmington,80.19,East,12
mens,2017-03-15,0,1,0.2102019591,0.0195037956,0.0052844264,0.0013699654,0.000322104,0.000088603,1,259,Virginia Tech,80.02,East,9
mens,2017-03-15,0,1,0.140303689,0.0358083581,0.0054732298,0.0013975007,0.0003307574,6.9681553E-005,1,261,Vermont,79.49,Midwest,13
mens,2017-03-15,0,1,0.098170485,0.0284420925,0.0032760565,0.0007033058,0.0001151156,2.5003574E-005,1,2083,Bucknell,77.93,West,13
mens,2017-03-15,0,1,0.1250819476,0.022741488,0.0024683075,0.0005175023,0.0001010718,2.3529174E-005,1,2193,East Tennessee State,78.05,East,13
mens,2017-03-15,0,1,0.1097940939,0.0308797726,0.0038953109,0.0005223221,7.8053454E-005,1.0598294E-005,1,2737,Winthrop,75.53,South,13
mens,2017-03-15,0,1,0.1245406626,0.0398755713,0.0043902413,0.0004434274,5.4996318E-005,9.306769E-006,1,526,Florida Gulf Coast,75.81,West,14
mens,2017-03-15,0,1,0.0965011151,0.0134968128,0.001684023,0.0001736706,3.2926091E-005,7.461339E-006,1,166,New Mexico State,75.6,East,14
mens,2017-03-15,0,1,0.0775468552,0.0148442088,0.0016508432,0.0001802579,2.7258915E-005,3.725379E-006,1,314,Iona,75.49,Midwest,14
mens,2017-03-15,0,1,0.0582763574,0.0073948076,0.0006237814,9.436767E-005,1.2687702E-005,1.556131E-006,1,2309,Kent State,74.27,South,14
mens,2017-03-15,0,1,0.0330965057,0.0057656313,0.0006743798,4.9353114E-005,5.299454E-006,7.09736E-007,1,2653,Troy,73.28,East,15
mens,2017-03-15,0,1,0.0331936212,0.003763286,0.0004728241,6.1583549E-005,0.000006856,7.00774E-007,1,94,Northern Kentucky,72.83,South,15
mens,2017-03-15,0,1,0.0232043693,0.0041470116,0.0004472935,5.5355855E-005,5.216397E-006,6.85689E-007,1,2571,South Dakota State,72.79,West,16
mens,2017-03-15,0,1,0.047498365,0.0049181224,0.0008124178,5.8861889E-005,5.102393E-006,6.20539E-007,1,155,North Dakota,72.33,West,15
mens,2017-03-15,0,1,0.0207246605,0.0025326438,0.0003450203,2.5125884E-005,2.344636E-006,0.000000202,1,2640,Texas Southern,70.99,South,16
mens,2017-03-15,0,1,0.0261818815,0.0021490234,0.0002588361,1.6875755E-005,1.536133E-006,1.28064E-007,1,55,Jacksonville State,71.17,Midwest,15
mens,2017-03-15,1,1,0.0168093555,0.0017799884,0.000117524,9.326909E-006,0.000000976,9.324E-008,1,302,UC-Davis,70.96,Midwest,16
mens,2017-03-15,1,1,0.0125730123,0.0011066003,0.000078304,5.606288E-006,0.000000369,0.000000031,1,116,Mount St. Mary's,70.2,East,16
