gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
mens,2018-03-14,0,1,0.9832640468,0.8614231974,0.6668370345,0.4963646759,0.2907297564,0.1796162896,1,222,Villanova,94.92,East,1
mens,2018-03-14,0,1,0.9785394853,0.8319206663,0.6110273312,0.4106806779,0.2637749375,0.1373986416,1,258,Virginia,93.07,South,1
mens,2018-03-14,0,1,0.9580615236,0.806459496,0.4677978982,0.2889778371,0.1629717945,0.10041562,1,150,Duke,92.59,Midwest,2
mens,2018-03-14,0,1,0.954136245,0.7640458531,0.6174438998,0.3185952005,0.1528861697,0.0827893053,1,2305,Kansas,90.88,Midwest,1
mens,2018-03-14,0,1,0.9227570005,0.7479340568,0.4032486888,0.2436990819,0.1205031165,0.066837759,1,127,Michigan State,91.67,Midwest,3
mens,2018-03-14,0,1,0.932632275,0.7751653685,0.5252367099,0.2524125708,0.1454248529,0.0667173428,1,2132,Cincinnati,91.06,South,2
mens,2018-03-14,0,1,0.9775105284,0.732650723,0.5003068436,0.2018365631,0.1012746201,0.0549561828,1,2509,Purdue,91.08,East,2
mens,2018-03-14,0,1,0.9647700828,0.7881456969,0.4588776274,0.2515439211,0.1202924933,0.0531343127,1,153,North Carolina,90.62,West,2
mens,2018-03-14,0,1,0.9170089991,0.6976671046,0.4309807898,0.2398246316,0.1014148373,0.0397900936,1,2250,Gonzaga,89.54,West,4
mens,2018-03-14,0,1,0.9727969766,0.7001627741,0.3418064233,0.1706304262,0.0745229877,0.0301587449,1,2752,Xavier,88.88,West,1
mens,2018-03-14,0,1,0.8931390741,0.5497104362,0.2712009698,0.1369771457,0.0591467222,0.0236756284,1,130,Michigan,88.54,West,3
mens,2018-03-14,0,1,0.7570586432,0.4014671865,0.1558041926,0.0839216494,0.0441467586,0.0182947887,1,96,Kentucky,88.17,South,5
mens,2018-03-14,0,1,0.9070448726,0.5940028157,0.2684278706,0.1049631869,0.048857661,0.017742694,1,2633,Tennessee,87.17,South,3
mens,2018-03-14,0,1,0.8359483401,0.4446773585,0.1449421907,0.0823080468,0.0361280857,0.0175261713,1,277,West Virginia,88.58,East,5
mens,2018-03-14,0,1,0.9090794122,0.5005172584,0.1298273493,0.0633877523,0.0289649975,0.0145333166,1,2724,Wichita State,87.97,East,4
mens,2018-03-14,0,1,0.848210938,0.4825458849,0.145428516,0.0649363088,0.0345075778,0.0144607863,1,12,Arizona,87.86,South,4
mens,2018-03-14,0,1,0.7178119501,0.3399609759,0.1522651028,0.0705586688,0.0317179312,0.0131968086,1,248,Houston,86.21,West,6
mens,2018-03-14,0,1,0.8935674336,0.5477846045,0.2063208042,0.0566989757,0.0256427551,0.0127556151,1,2641,Texas Tech,87.27,East,3
mens,2018-03-14,0,1,0.7216939795,0.3436783887,0.1371968224,0.0400255304,0.0160197268,0.0071907828,1,57,Florida,86.43,East,6
mens,2018-03-14,0,1,0.7657008669,0.2397907988,0.1124400469,0.0472114999,0.0173041,0.005924389,1,194,Ohio State,85.59,West,5
mens,2018-03-14,0,1,0.555835292,0.1325486382,0.0466720022,0.0202343584,0.0081406851,0.003825472,1,2628,Texas Christian,84.84,Midwest,6
mens,2018-03-14,0,1,0.6315606636,0.1579581041,0.0953186357,0.028467673,0.0089322927,0.0034250714,1,2550,Seton Hall,85.05,Midwest,8
mens,2018-03-14,0,1,0.7981610362,0.4163729481,0.1129932575,0.0302896565,0.009136347,0.0033904947,1,2,Auburn,84.04,Midwest,4
mens,2018-03-14,0,1,0.6038224087,0.1747235452,0.087411085,0.0227955687,0.0079770713,0.0031955926,1,2086,Butler,84.65,East,10
mens,2018-03-14,0,1,0.6198100574,0.3506995482,0.0981844676,0.0271210284,0.0082128548,0.0030577782,1,228,Clemson,84.15,Midwest,5
mens,2018-03-14,0,1,0.5826930876,0.1289605385,0.053100733,0.0210808225,0.0082919487,0.0030360482,1,245,Texas A&M,83.55,West,7
mens,2018-03-14,0,1,0.5980941572,0.2474313728,0.0824486529,0.0237314599,0.0093986394,0.0028838043,1,2390,Miami (FL),83.94,South,6
mens,2018-03-14,0,1,0.7060880121,0.2166155514,0.0731082797,0.0260988443,0.0085378576,0.0026246453,1,52,Florida State,83.61,West,9
mens,2018-03-14,0,1,0.5960125734,0.1310158707,0.0527738806,0.0133582669,0.0062176546,0.0022578397,1,251,Texas,82.9,South,10
mens,2018-03-14,0,1,0.5826072539,0.0976799938,0.0377118669,0.0133715188,0.0053984993,0.0016895489,1,156,Creighton,83.4,South,8
mens,2018-03-14,0,1,0.5931697776,0.0883583969,0.0351839425,0.0139808464,0.0042928343,0.0015376103,1,259,Virginia Tech,83.43,East,8
mens,2018-03-14,0,1,0.3961775913,0.0905063107,0.0401169814,0.0090221734,0.0032299452,0.0013192185,1,8,Arkansas,83.29,East,7
mens,2018-03-14,0,1,0.2821880499,0.0870724831,0.0362508552,0.0157403675,0.0042514849,0.0010905089,1,21,San Diego State,81.72,West,11
mens,2018-03-14,0,1,0.4173927461,0.0670487741,0.0252087729,0.0087201438,0.0035013938,0.0010896605,1,2306,Kansas State,81.48,South,9
mens,2018-03-14,0,1,0.5804474619,0.1145020542,0.0318461152,0.0108421094,0.0029443814,0.0010008186,1,227,Rhode Island,83.07,Midwest,7
mens,2018-03-14,0,1,0.4195525381,0.0683168959,0.0206165535,0.0075097968,0.0023209309,0.0008788576,1,201,Oklahoma,82.1,Midwest,10
mens,2018-03-14,0,1,0.2939119879,0.0806012258,0.0257240049,0.0087248583,0.0026760819,0.0007740356,1,142,Missouri,78.49,West,8
mens,2018-03-14,1,1,0.444164708,0.0934270323,0.0243811587,0.008287559,0.0022121663,0.0007410971,1,183,Syracuse,82.46,Midwest,11
mens,2018-03-14,0,1,0.4068302224,0.0476372358,0.0170524807,0.00615274,0.0019743389,0.000734463,1,333,Alabama,82.2,East,9
mens,2018-03-14,0,1,0.4019058428,0.1385005851,0.0367610238,0.0084377178,0.0027924895,0.0007140207,1,2350,Loyola (IL),81.28,South,11
mens,2018-03-14,0,1,0.2429413568,0.0781250507,0.0186770272,0.0069512172,0.0024926938,0.0006911232,1,2166,Davidson,81.9,South,12
mens,2018-03-14,0,1,0.3684393364,0.0677294922,0.0340350433,0.0077745599,0.0019566093,0.0006236693,1,152,North Carolina State,81.74,Midwest,9
mens,2018-03-14,0,1,0.4039874266,0.0709345918,0.0250197655,0.0054721305,0.0019884171,0.0005587544,1,2440,Nevada,81.82,South,7
mens,2018-03-14,1,1,0.2783060205,0.0856042199,0.0259412549,0.00572459,0.0015003324,0.0004684601,1,179,St. Bonaventure,81.37,East,11
mens,2018-03-14,0,1,0.4173069124,0.0760302782,0.0228288582,0.0068025012,0.0017316763,0.0004199876,1,2507,Providence,81.27,West,10
mens,2018-03-14,0,1,0.3801899426,0.1799004106,0.0325780784,0.005905238,0.0013341226,0.0003878533,1,166,New Mexico State,79.79,Midwest,12
mens,2018-03-14,0,1,0.2342991331,0.0373116987,0.0097551714,0.0023227451,0.0004673939,9.0721494E-005,1,2571,South Dakota State,78.07,West,12
mens,2018-03-14,0,1,0.151789062,0.037861878,0.0058182187,0.0014943966,0.0004091468,8.6580833E-005,1,2084,Buffalo,79.07,South,13
mens,2018-03-14,0,1,0.1640516599,0.0400993559,0.004700949,0.0012353436,0.0002876715,8.0968232E-005,1,93,Murray State,78.93,East,12
mens,2018-03-14,0,1,0.0829910009,0.0252303979,0.0060082101,0.0013076882,0.0002598201,4.9826878E-005,1,2430,North Carolina-Greensboro,78.03,West,13
mens,2018-03-14,0,1,0.0772429995,0.0260902726,0.0042876112,0.0009821612,0.0001742174,4.1046879E-005,1,2083,Bucknell,78.25,Midwest,14
mens,2018-03-14,0,1,0.067367725,0.022884169,0.0068120635,0.0012419429,0.0002378262,3.5379059E-005,1,2247,Georgia State,75.99,South,15
mens,2018-03-14,0,1,0.1068609259,0.0232561048,0.0047407838,0.0010779587,0.0001776894,2.8524101E-005,1,149,Montana,76.79,West,14
mens,2018-03-14,0,1,0.2018389638,0.0530270931,0.0065908016,0.0008270952,0.0001225855,2.4625721E-005,1,232,College of Charleston,76.44,Midwest,13
